config_type,layer_type,model_type,q
"(7, 2)",9,LSTM,0.00021449022107325228
"(3, 1, 3)",7,CLSTM,0.00021657182192679362
"(6, 5)",11,LSTM,0.00021428968310439295
"(3, 7, 5)",15,CLSTM,0.00021587262713832647
"(5, 7)",12,LSTM,0.0002128488065084509
"(5, 7)",12,LSTM,0.00021859251137357205
"(12, 8)",20,LSTM,0.00022249933224104877
"(7, 6, 7)",20,CLSTM,0.00021679732536930324
"(3, 1)",4,CNN,0.00020805063166855168
"(13, 2, 1)",16,CLSTM,0.00021385750837258196
"(3, 1)",4,CNN,0.00020824466565889973
"(9, 4)",13,CNN,0.00021446719640932444
"(7, 5)",12,CNN,0.00021764257398899646
"(13, 2, 1)",16,CLSTM,0.00021770755733346698
"(3, 1)",4,CNN,0.00020537078796353724
"(6, 5)",11,LSTM,0.00022622792249811548
"(3, 1)",4,CNN,0.00020819661003770306
"(3, 1)",4,CNN,0.000205241211577751
"(3, 1)",4,CNN,0.000199210258974095
"(3, 1)",4,CNN,0.00020273779851517508
"(1, 3, 11)",15,CLSTM,0.00021279887878336012
"(3, 1)",4,CNN,0.00020758282875509135
"(3, 1)",4,CNN,0.00020964021906755598
"(3, 1)",4,CNN,0.00020527133175554419
"(3, 1)",4,CNN,0.00020647154243696214
"(3, 1)",4,CNN,0.0002132739595253952
"(3, 1)",4,CNN,0.0001988393176621425
"(3, 1)",4,CNN,0.00019718786248371802
"(3, 1)",4,CNN,0.00021241918646930052
"(3, 1)",4,CNN,0.00020739958241132887
